midge-ID  ; genome copies per individuum 
1-NC 0dpi 1;0
1-NC 0dpi 2;0
1-NC 0dpi 3;0
1-NC 0dpi 4;0
1-NC 0dpi 5;0
1-NC 0dpi 6;0
1-NC 0dpi 7;0
1-NC 0dpi 8;0
1-NC 0dpi 9;0
1-NC 0dpi 10;0
1-NC 0dpi 11;0
1-NC 0dpi 12;0
1-NC 0dpi 13;0
1-NC 0dpi 14;0
1-NC 0dpi 15;0
1-NC 0dpi 16;0
1-BTV3 0dpi 1;1.94E+04
1-BTV3 0dpi 2;2.51E+04
1-BTV3 0dpi 3;2.83E+04
1-BTV3 0dpi 4;1.90E+04
1-BTV3 0dpi 5;5.90E+04
1-BTV3 0dpi 6;1.82E+04
1-BTV3 0dpi 7;1.73E+04
1-BTV3 0dpi 8;4.40E+04
1-BTV3 0dpi 9;2.94E+04
1-BTV3 0dpi 10;2.67E+04
1-BTV3 0dpi 11;3.82E+04
1-BTV3 0dpi 12;3.97E+04
1-BTV3 0dpi 13;4.40E+04
1-BTV3 0dpi 14;1.55E+04
1-BTV3 0dpi 15;2.22E+04
1-BTV3 0dpi 16;2.89E+04
1-BTV8 0dpi 1;1.32E+05
1-BTV8 0dpi 2;1.99E+05
1-BTV8 0dpi 3;1.04E+05
1-BTV8 0dpi 4;1.82E+05
1-BTV8 0dpi 5;1.18E+05
1-BTV8 0dpi 6;4.63E+04
1-BTV8 0dpi 7;2.05E+05
1-BTV8 0dpi 8;1.69E+05
1-BTV8 0dpi 9;1.82E+05
1-BTV8 0dpi 10;3.13E+05
1-BTV8 0dpi 11;1.07E+05
1-BTV8 0dpi 12;2.33E+05
1-BTV8 0dpi 13;1.45E+05
1-BTV8 0dpi 14;1.30E+05
1-BTV8 0dpi 15;1.26E+05
1-BTV8 0dpi 16;1.20E+05
1-NC 6dpi 1 ;0
1-NC 6dpi 2;0
1-NC 6dpi 3;0
1-NC 6dpi 4;0
1-NC 6dpi 5;0
1-NC 6dpi 6;0
1-NC 6dpi 7;0
1-NC 6dpi 8;0
1-NC 6dpi 9;0
1-NC 6dpi 10;0
1-NC 6dpi 11;0
1-NC 6dpi 12;0
1-NC 6dpi 13;0
1-NC 6dpi 14;0
1-NC 6dpi 15;0
1-NC 6dpi 16;0
1-BTV3 6dpi 1;0
1-BTV3 6dpi 2;0
1-BTV3 6dpi 3;0
1-BTV3 6dpi 4;6.36E+01
1-BTV3 6dpi 5;1.94E+02
1-BTV3 6dpi 6;0
1-BTV3 6dpi 7;8.43E+01
1-BTV3 6dpi 8;0
1-BTV3 6dpi 9;0
1-BTV3 6dpi 10;0
1-BTV3 6dpi 11;0
1-BTV3 6dpi 12;2.19E+08
1-BTV3 6dpi 13;0
1-BTV3 6dpi 14;0
1-BTV3 6dpi 15;0
1-BTV3 6dpi 16;0
1-BTV3 6dpi 17;0
1-BTV3 6dpi 18;8.56E+07
1-BTV3 6dpi 19;0
1-BTV3 6dpi 20;0
1-BTV3 6dpi 21;9.47E+01
1-BTV3 6dpi 22;0
1-BTV3 6dpi 23;0
1-BTV3 6dpi 24;2.58E+02
1-BTV3 6dpi 25;0
1-BTV3 6dpi 26;1.35E+08
1-BTV3 6dpi 27;0
1-BTV3 6dpi 28;0
1-BTV3 6dpi 29;0
1-BTV3 6dpi 30;2.37E+02
1-BTV3 6dpi 31;2.50E+02
1-BTV3 6dpi 32;0
1-BTV3 6dpi 33;0
1-BTV3 6dpi 34;0
1-BTV3 6dpi 35;9.54E+01
1-BTV3 6dpi 36;0
1-BTV3 6dpi 37;3.19E+03
1-BTV3 6dpi 38;0
1-BTV3 6dpi 39;0
1-BTV3 6dpi 40;1.20E+02
1-BTV3 6dpi 41;0
1-BTV3 6dpi 42;0
1-BTV3 6dpi 43;2.41E+04
1-BTV3 6dpi 44;1.50E+03
1-BTV3 6dpi 45;1.30E+02
1-BTV3 6dpi 46;0
1-BTV3 6dpi 47;0
1-BTV3 6dpi 48;0
1-BTV3 6dpi 49;0
1-BTV3 6dpi 50;0
1-BTV3 6dpi 51;0
1-BTV3 6dpi 52;0
1-BTV3 6dpi 53;0
1-BTV3 6dpi 54;0
1-BTV3 6dpi 55;0
1-BTV3 6dpi 56;8.55E+01
1-BTV3 6dpi 57;0
1-BTV3 6dpi 58;0
1-BTV3 6dpi 59;0
1-BTV3 6dpi 60;2.80E+02
1-BTV3 6dpi 61;0
1-BTV3 6dpi 62;0
1-BTV3 6dpi 63;0
1-BTV3 6dpi 64;0
1-BTV3 6dpi 65;1.15E+02
1-BTV3 6dpi 66;0
1-BTV3 6dpi 67;0
1-BTV3 6dpi 68;1.36E+02
1-BTV3 6dpi 69;0
1-BTV3 6dpi 70;0
1-BTV3 6dpi 71;0
1-BTV3 6dpi 72;0
1-BTV3 6dpi 73;0
1-BTV3 6dpi 74;0
1-BTV3 6dpi 75;0
1-BTV3 6dpi 76;0
1-BTV3 6dpi 77;0
1-BTV3 6dpi 78;0
1-BTV3 6dpi 79;4.89E+01
1-BTV3 6dpi 80;0
1-BTV3 6dpi 81;3.37E+08
1-BTV3 6dpi 82;0
1-BTV3 6dpi 83;7.42E+01
1-BTV3 6dpi 84;0
1-BTV3 6dpi 85;0
1-BTV3 6dpi 86;0
1-BTV3 6dpi 87;0
1-BTV3 6dpi 88;0
1-BTV3 6dpi 89;0
1-BTV3 6dpi 90;0
1-BTV3 6dpi 91;0
1-BTV3 6dpi 92;0
1-BTV3 6dpi 93;0
1-BTV3 6dpi 94;3.70E+08
1-BTV3 6dpi 95;0
1-BTV3 6dpi 96;0
1-BTV3 6dpi 97;0
1-BTV3 6dpi 98;0
1-BTV3 6dpi 99;0
1-BTV3 6dpi 100;2.11E+07
1-BTV3 6dpi 101;1.10E+08
1-BTV3 6dpi 102;0
1-BTV3 6dpi 103;0
1-BTV3 6dpi 104;7.36E+02
1-BTV3 6dpi 105;4.70E+07
1-BTV3 6dpi 106;5.05E+01
1-BTV3 6dpi 107;0
1-BTV3 6dpi 108;0
