midge_id,genome_copies,strain,dpi,log_copies,is_detectable
1-NC 0dpi 1,0.0,NC,0,0.0,0
1-NC 0dpi 2,0.0,NC,0,0.0,0
1-NC 0dpi 3,0.0,NC,0,0.0,0
1-NC 0dpi 4,0.0,NC,0,0.0,0
1-NC 0dpi 5,0.0,NC,0,0.0,0
1-NC 0dpi 6,0.0,NC,0,0.0,0
1-NC 0dpi 7,0.0,NC,0,0.0,0
1-NC 0dpi 8,0.0,NC,0,0.0,0
1-NC 0dpi 9,0.0,NC,0,0.0,0
1-NC 0dpi 10,0.0,NC,0,0.0,0
1-NC 0dpi 11,0.0,NC,0,0.0,0
1-NC 0dpi 12,0.0,NC,0,0.0,0
1-NC 0dpi 13,0.0,NC,0,0.0,0
1-NC 0dpi 14,0.0,NC,0,0.0,0
1-NC 0dpi 15,0.0,NC,0,0.0,0
1-NC 0dpi 16,0.0,NC,0,0.0,0
1-BTV3 0dpi 1,19400.0,BTV3,0,9.873079890114703,1
1-BTV3 0dpi 2,25100.0,BTV3,0,10.130662964963708,1
1-BTV3 0dpi 3,28300.0,BTV3,0,10.250652418696085,1
1-BTV3 0dpi 4,19000.0,BTV3,0,9.852246888342531,1
1-BTV3 0dpi 5,59000.0,BTV3,0,10.985309671896763,1
1-BTV3 0dpi 6,18200.0,BTV3,0,9.809231816610408,1
1-BTV3 0dpi 7,17300.0,BTV3,0,9.758519582283522,1
1-BTV3 0dpi 8,44000.0,BTV3,0,10.691967639914864,1
1-BTV3 0dpi 9,29400.0,BTV3,0,10.288783966353765,1
1-BTV3 0dpi 10,26700.0,BTV3,0,10.192456296870509,1
1-BTV3 0dpi 11,38200.0,BTV3,0,10.5506169722625,1
1-BTV3 0dpi 12,39700.0,BTV3,0,10.589131655274922,1
1-BTV3 0dpi 13,44000.0,BTV3,0,10.691967639914864,1
1-BTV3 0dpi 14,15500.0,BTV3,0,9.648659816955295,1
1-BTV3 0dpi 15,22200.0,BTV3,0,10.007892611890918,1
1-BTV3 0dpi 16,28900.0,BTV3,0,10.27163147557801,1
1-BTV8 0dpi 1,132000.0,BTV8,0,11.790564777297387,1
1-BTV8 0dpi 2,199000.0,BTV8,0,12.201065128819632,1
1-BTV8 0dpi 3,104000.0,BTV8,0,11.552155793461898,1
1-BTV8 0dpi 4,182000.0,BTV8,0,12.111767460549332,1
1-BTV8 0dpi 5,118000.0,BTV8,0,11.678448377988165,1
1-BTV8 0dpi 6,46300.0,BTV8,0,10.742918838113225,1
1-BTV8 0dpi 7,205000.0,BTV8,0,12.230770136157428,1
1-BTV8 0dpi 8,169000.0,BTV8,0,12.037659911047468,1
1-BTV8 0dpi 9,182000.0,BTV8,0,12.111767460549332,1
1-BTV8 0dpi 10,313000.0,BTV8,0,12.653961664405365,1
1-BTV8 0dpi 11,107000.0,BTV8,0,11.580593459194764,1
1-BTV8 0dpi 12,233000.0,BTV8,0,12.358798024384122,1
